Year,Statistic,Name,Team,#
1924,Hits,Rogers Hornsby,St. Louis,227
1924,Home Runs,Jack Fournier,Brooklyn,27
1924,On Base Percentage,Rogers Hornsby,St. Louis,.507
1924,RBI,George Kelly,New York,136
1924,Runs,Frankie Frisch,New York,121
1924,Rogers Hornsby,St. Louis,,
1924,Slugging Average,Rogers Hornsby,St. Louis,.696
1924,Stolen Bases,Max Carey,Pittsburgh,49
1924,Total Bases,Rogers Hornsby,St. Louis,373
1924,Triples,Edd Roush,Cincinnati,21
1954,Base on Balls,Richie Ashburn,Philadelphia,125
1954,Batting Average,Willie Mays,New York,.345
1954,Doubles,Stan Musial,St. Louis,41
1954,Hits,Don Mueller,New York,212
1954,Home Runs,Ted Kluszewski,Cincinnati,49
1954,On Base Percentage,Richie Ashburn,Philadelphia,.442
1954,RBI,Ted Kluszewski,Cincinnati,141
1954,Runs,Stan Musial,St. Louis,120
1954,Duke Snider,Brooklyn,,
1954,Slugging Average,Willie Mays,New York,.667
1954,Stolen Bases,Bill Bruton,Milwaukee,34
1954,Total Bases,Duke Snider,Brooklyn,378
1954,Triples,Willie Mays,New York,13
1895,Base on Balls,Billy Hamilton,Philadelphia,96
1895,Bill Joyce,Washington,,
1895,Batting Average,Jesse Burkett,Cleveland,.409
1895,Doubles,Ed Delahanty,Philadelphia,49
1895,Hits,Jesse Burkett,Cleveland,225
1895,Home Runs,Sam Thompson,Philadelphia,18
1895,On Base Percentage,Ed Delahanty,Philadelphia,.500
1895,RBI,Sam Thompson,Philadelphia,165
1895,Runs,Billy Hamilton,Philadelphia,166
1895,Slugging Average,Sam Thompson,Philadelphia,.654
1895,Stolen Bases,Billy Hamilton,Philadelphia,97
1895,Total Bases,Sam Thompson,Philadelphia,352
1895,Triples,Kip Selbach,Washington,22
2024,Base on Balls,Kyle Schwarber,Philadelphia,105
2024,Batting Average,Luis Arraez,Miami,.314
2024,Doubles,Ezequiel Tovar,Colorado,45
2024,Hits,Luis Arraez,Miami,200
2024,Home Runs,Shohei Ohtani,Los Angeles,54
2024,On Base Percentage,Shohei Ohtani,Los Angeles,.390
2024,RBI,Shohei Ohtani,Los Angeles,130
2024,Runs,Shohei Ohtani,Los Angeles,134
2024,Slugging Average,Shohei Ohtani,Los Angeles,.646
2024,Stolen Bases,Elly De La Cruz,Cincinnati,67
2024,Total Bases,Shohei Ohtani,Los Angeles,411
2024,Triples,Corbin Carroll,Arizona,14
1987,Base on Balls,Jack Clark,St. Louis,136
1987,Batting Average,Tony Gwynn,San Diego,.370
1987,Doubles,Tim Wallach,Montreal,42
1987,Hits,Tony Gwynn,San Diego,218
1987,Home Runs,Andre Dawson,Chicago,49
1987,On Base Percentage,Jack Clark,St. Louis,.461
1987,RBI,Andre Dawson,Chicago,137
1987,Runs,Tim Raines,Montreal,123
1987,Slugging Average,Jack Clark,St. Louis,.597
1987,Stolen Bases,Vince Coleman,St. Louis,109
1987,Total Bases,Andre Dawson,Chicago,353
1987,Triples,Juan Samuel,Philadelphia,15
1880,Base on Balls,Bob Ferguson,Troy,24
1880,Batting Average,George Gore,Chicago,.360
1880,Doubles,Fred Dunlap,Cleveland,27
1880,Hits,Abner Dalrymple,Chicago,126
1880,Home Runs,Jim O'Rourke,Boston,6
1880,Harry Stovey,Worcester,,
1880,On Base Percentage,George Gore,Chicago,.399
1880,RBI,Cap Anson,Chicago,74
1880,Runs,Abner Dalrymple,Chicago,91
1880,Slugging Average,George Gore,Chicago,.463
1880,Total Bases,Abner Dalrymple,Chicago,175
1880,Triples,Harry Stovey,Worcester,14
1992,Base on Balls,Barry Bonds,Pittsburgh,127
1992,Batting Average,Gary Sheffield,San Diego,.330
1992,Doubles,Andy Van Slyke,Pittsburgh,45
1992,Hits,Terry Pendleton,Atlanta,199
1992,Andy Van Slyke,Pittsburgh,,
1992,Home Runs,Fred McGriff,San Diego,35
1992,On Base Percentage,Barry Bonds,Pittsburgh,.461
1992,RBI,Darren Daulton,Philadelphia,109
1992,Runs,Barry Bonds,Pittsburgh,109
1992,Slugging Average,Barry Bonds,Pittsburgh,.624
1992,Stolen Bases,Marquis Grissom,Montreal,78
1992,Total Bases,Gary Sheffield,San Diego,323
1992,Triples,Deion Sanders,Atlanta,14
1931,Base on Balls,Mel Ott,New York,80
1931,Batting Average,Chick Hafey,St. Louis,.349
1931,Doubles,Sparky Adams,St. Louis,46
1931,Hits,Lloyd Waner,Pittsburgh,214
1931,Home Runs,Chuck Klein,Philadelphia,31
1931,On Base Percentage,Chick Hafey,St. Louis,.404
1931,RBI,Chuck Klein,Philadelphia,121
1931,Runs,Chuck Klein,Philadelphia,121
1931,Bill Terry,New York,,
1931,Slugging Average,Chuck Klein,Philadelphia,.584
1931,Stolen Bases,Frankie Frisch,St. Louis,28
1931,Total Bases,Chuck Klein,Philadelphia,347
1931,Triples,Bill Terry,New York,20
1941,Base on Balls,Elbie Fletcher,Pittsburgh,118
1941,Batting Average,Pete Reiser,Brooklyn,.343
1941,Doubles,Johnny Mize,St. Louis,39
1941,Pete Reiser,Brooklyn,,
1941,Hits,Stan Hack,Chicago,186
1941,Home Runs,Dolph Camilli,Brooklyn,34
1941,On Base Percentage,Elbie Fletcher,Pittsburgh,.421
1941,RBI,Dolph Camilli,Brooklyn,120
1941,Runs,Pete Reiser,Brooklyn,117
1941,Slugging Average,Pete Reiser,Brooklyn,.558
1941,Stolen Bases,Danny Murtaugh,Pittsburgh,18
1941,Total Bases,Pete Reiser,Brooklyn,299
1941,Triples,Pete Reiser,Brooklyn,17
2003,Base on Balls,Barry Bonds,San Francisco,148
2003,Batting Average,Albert Pujols,St. Louis,.359
2003,Doubles,Albert Pujols,St. Louis,51
2003,Hits,Albert Pujols,St. Louis,212
2003,Home Runs,Jim Thome,Philadelphia,47
2003,On Base Percentage,Barry Bonds,San Francisco,.529
2003,RBI,Preston Wilson,Colorado,141
2003,Runs,Albert Pujols,St. Louis,137
2003,Slugging Average,Barry Bonds,San Francisco,.749
2003,Stolen Bases,Juan Pierre,Florida,45
2003,Total Bases,Albert Pujols,St. Louis,394
2003,Triples,Steve Finley,Arizona,10
2003,Rafael Furcal,Atlanta,,
1973,Base on Balls,Darrell Evans,Atlanta,124
1973,Batting Average,Pete Rose,Cincinnati,.338
1973,Doubles,Willie Stargell,Pittsburgh,43
1973,Hits,Pete Rose,Cincinnati,230
1973,Home Runs,Willie Stargell,Pittsburgh,44
1973,On Base Percentage,Ken Singleton,Montreal,.429
1973,RBI,Willie Stargell,Pittsburgh,119
1973,Runs,Bobby Bonds,San Francisco,131
1973,Slugging Average,Willie Stargell,Pittsburgh,.646
1973,Stolen Bases,Lou Brock,St. Louis,70
1973,Total Bases,Bobby Bonds,San Francisco,341
1973,Triples,Roger Metzger,Houston,14
1903,Base on Balls,Roy Thomas,Philadelphia,107
1903,Batting Average,Honus Wagner,Pittsburgh,.355
1903,Doubles,Fred Clarke,Pittsburgh,32
1903,Sam Mertes,New York,,
1903,Harry Steinfeldt,Cincinnati,,
1903,Hits,Ginger Beaumont,Pittsburgh,209
1903,Home Runs,Jimmy Sheckard,Brooklyn,9
1903,On Base Percentage,Roy Thomas,Philadelphia,.453
1903,RBI,Sam Mertes,New York,104
1903,Runs,Ginger Beaumont,Pittsburgh,137
1903,Slugging Average,Fred Clarke,Pittsburgh,.532
1903,Stolen Bases,Frank Chance,Chicago,67
1903,Jimmy Sheckard,Brooklyn,,
1903,Total Bases,Ginger Beaumont,Pittsburgh,272
1903,Triples,Honus Wagner,Pittsburgh,19
1944,Base on Balls,Augie Galan,Brooklyn,101
1944,Batting Average,Dixie Walker,Brooklyn,.357
1944,Doubles,Stan Musial,St. Louis,51
1944,Hits,Phil Cavarretta,Chicago,197
1944,Stan Musial,St. Louis,,
1944,Home Runs,Bill Nicholson,Chicago,33
1944,On Base Percentage,Stan Musial,St. Louis,.440
1944,RBI,Bill Nicholson,Chicago,122
1944,Runs,Bill Nicholson,Chicago,116
1944,Slugging Average,Stan Musial,St. Louis,.549
1944,Stolen Bases,Johnny Barrett,Pittsburgh,28
1944,Total Bases,Bill Nicholson,Chicago,317
1944,Triples,Johnny Barrett,Pittsburgh,19
1934,Base on Balls,Arky Vaughan,Pittsburgh,94
1934,Batting Average,Paul Waner,Pittsburgh,.362
1934,Doubles,Kiki Cuyler,Chicago,42
1934,Ethan Allen,Philadelphia,,
1934,Hits,Paul Waner,Pittsburgh,217
1934,Home Runs,Mel Ott,New York,35
1934,Ripper Collins,St. Louis,,
1934,On Base Percentage,Arky Vaughan,Pittsburgh,.431
1934,RBI,Mel Ott,New York,135
1934,Runs,Paul Waner,Pittsburgh,122
1934,Slugging Average,Ripper Collins,St. Louis,.615
1934,Stolen Bases,Pepper Martin,St. Louis,23
1934,Total Bases,Ripper Collins,St. Louis,369
1934,Triples,Joe Medwick,St. Louis,18
1997,Base on Balls,Barry Bonds,San Francisco,145
1997,Batting Average,Tony Gwynn,San Diego,.372
1997,Doubles,Mark Grudzielanek,Montreal,54
1997,Hits,Tony Gwynn,San Diego,220
1997,Home Runs,Larry Walker,Colorado,49
1997,On Base Percentage,Larry Walker,Colorado,.455
1997,RBI,Andres Galarraga,Colorado,140
1997,Runs,Craig Biggio,Houston,146
1997,Slugging Average,Larry Walker,Colorado,.720
1997,Stolen Bases,Tony Womack,Pittsburgh,60
1997,Total Bases,Larry Walker,Colorado,409
1997,Triples,Delino DeShields,St. Louis,14
1878,Base on Balls,Terry Larkin,Chicago,17
1878,Batting Average,Paul Hines,Providence,.358
1878,Doubles,Dick Higham,Providence,22
1878,Hits,Joe Start,Chicago,100
1878,Home Runs,Paul Hines,Providence,4
1878,On Base Percentage,Bob Ferguson,Chicago,.375
1878,RBI,Paul Hines,Providence,50
1878,Runs,Dick Higham,Providence,60
1878,Slugging Average,Paul Hines,Providence,.486
1878,Total Bases,Paul Hines,Providence,125
1878,Tom York,Providence,,
1878,Joe Start,Chicago,,
1878,Triples,Tom York,Providence,10
1885,Base on Balls,Ned Williamson,Chicago,75
1885,Batting Average,Roger Connor,New York,.371
1885,Doubles,Cap Anson,Chicago,35
1885,Hits,Roger Connor,New York,169
1885,Home Runs,Abner Dalrymple,Chicago,11
1885,On Base Percentage,Roger Connor,New York,.435
1885,RBI,Cap Anson,Chicago,108
1885,Runs,King Kelly,Chicago,124
1885,Slugging Average,Dan Brouthers,Buffalo,.543
1885,Total Bases,Roger Connor,New York,225
1885,Triples,Jim O'Rourke,New York,16
1899,Base on Balls,John McGraw,Baltimore,124
1899,Batting Average,Ed Delahanty,Philadelphia,.410
1899,Doubles,Ed Delahanty,Philadelphia,55
1899,Hits,Ed Delahanty,Philadelphia,238
1899,Home Runs,Buck Freeman,Washington,25
1899,On Base Percentage,John McGraw,Baltimore,.547
1899,RBI,Ed Delahanty,Philadelphia,137
1899,Runs,Willie Keeler,Brooklyn,140
1899,John McGraw,Baltimore,,
1899,Slugging Average,Ed Delahanty,Philadelphia,.582
1899,Stolen Bases,Jimmy Sheckard,Baltimore,77
1899,Total Bases,Ed Delahanty,Philadelphia,338
1899,Triples,Jimmy Williams,Pittsburgh,27
1906,Base on Balls,Roy Thomas,Philadelphia,107
1906,Batting Average,Honus Wagner,Pittsburgh,.339
1906,Doubles,Honus Wagner,Pittsburgh,38
1906,Hits,Harry Steinfeldt,Chicago,176
1906,Home Runs,Tim Jordan,Brooklyn,12
1906,On Base Percentage,Roger Bresnahan,New York,.419
1906,RBI,Jim Nealon,Pittsburgh,83
1906,Harry Steinfeldt,Chicago,,
1906,Runs,Frank Chance,Chicago,103
1906,Honus Wagner,Pittsburgh,,
1906,Slugging Average,Harry Lumley,Brooklyn,.477
1906,Stolen Bases,Frank Chance,Chicago,57
1906,Total Bases,Honus Wagner,Pittsburgh,237
1906,Triples,Fred Clarke,Pittsburgh,13
1906,Frank Schulte,Chicago,,
1976,Base on Balls,Jimmy Wynn,Atlanta,127
1976,Batting Average,Bill Madlock,Chicago,.339
1976,Doubles,Pete Rose,Cincinnati,42
1976,Hits,Pete Rose,Cincinnati,215
1976,Home Runs,Mike Schmidt,Philadelphia,38
1976,On Base Percentage,Joe Morgan,Cincinnati,.453
1976,RBI,George Foster,Cincinnati,121
1976,Runs,Pete Rose,Cincinnati,130
1976,Slugging Average,Joe Morgan,Cincinnati,.576
1976,Stolen Bases,Davey Lopes,Los Angeles,63
1976,Total Bases,Mike Schmidt,Philadelphia,306
1976,Triples,Dave Cash,Philadelphia,12
2006,Base on Balls,Barry Bonds,San Francisco,115
2006,Batting Average,Freddy Sanchez,Pittsburgh,.344
2006,Doubles,Freddy Sanchez,Pittsburgh,53
2006,Hits,Juan Pierre,Chicago,204
2006,Home Runs,Ryan Howard,Philadelphia,58
2006,On Base Percentage,Barry Bonds *,San Francisco,.454
2006,RBI,Ryan Howard,Philadelphia,149
2006,Runs,Chase Utley,Philadelphia,131
2006,Slugging Average,Albert Pujols,St. Louis,.671
2006,Stolen Bases,Jose Reyes,New York,64
2006,Total Bases,Ryan Howard,Philadelphia,383
2006,Triples,Jose Reyes,New York,17
1928,Base on Balls,Rogers Hornsby,Boston,107
1928,Batting Average,Rogers Hornsby,Boston,.387
1928,Doubles,Paul Waner,Pittsburgh,50
1928,Hits,Freddie Lindstrom,New York,231
1928,Home Runs,Jim Bottomley,St. Louis,31
1928,Hack Wilson,Chicago,,
1928,On Base Percentage,Rogers Hornsby,Boston,.498
1928,RBI,Jim Bottomley,St. Louis,136
1928,Runs,Paul Waner,Pittsburgh,142
1928,Slugging Average,Rogers Hornsby,Boston,.632
1928,Stolen Bases,Kiki Cuyler,Chicago,37
1928,Total Bases,Jim Bottomley,St. Louis,362
1928,Triples,Jim Bottomley,St. Louis,20
1958,Base on Balls,Richie Ashburn,Philadelphia,97
1958,Batting Average,Richie Ashburn,Philadelphia,.350
1958,Doubles,Orlando Cepeda,San Francisco,38
1958,Hits,Richie Ashburn,Philadelphia,215
1958,Home Runs,Ernie Banks,Chicago,47
1958,On Base Percentage,Richie Ashburn,Philadelphia,.440
1958,RBI,Ernie Banks,Chicago,129
1958,Runs,Willie Mays,San Francisco,121
1958,Slugging Average,Ernie Banks,Chicago,.614
1958,Stolen Bases,Willie Mays,San Francisco,31
1958,Total Bases,Ernie Banks,Chicago,379
1958,Triples,Richie Ashburn,Philadelphia,13
2013,Base on Balls,Joey Votto,Cincinnati,135
2013,Batting Average,Michael Cuddyer,Colorado,.331
2013,Doubles,Matt Carpenter,St. Louis,55
2013,Hits,Matt Carpenter,St. Louis,199
2013,Home Runs,Pedro Alvarez,Pittsburgh,36
2013,Paul Goldschmidt,Arizona,,
2013,On Base Percentage,Joey Votto,Cincinnati,.435
2013,RBI,Paul Goldschmidt,Arizona,125
2013,Runs,Matt Carpenter,St. Louis,126
2013,Slugging Average,Paul Goldschmidt,Arizona,.552
2013,Stolen Bases,Eric Young,Colorado / New York,46
2013,Total Bases,Paul Goldschmidt,Arizona,332
2013,Triples,Denard Span,Washington,11
1913,Base on Balls,Bob Bescher,Cincinnati,94
1913,Batting Average,Jake Daubert,Brooklyn,.350
1913,Doubles,Red Smith,Brooklyn,40
1913,Hits,Gavvy Cravath,Philadelphia,179
1913,Home Runs,Gavvy Cravath,Philadelphia,19
1913,On Base Percentage,Miller Huggins,St. Louis,.432
1913,RBI,Gavvy Cravath,Philadelphia,128
1913,Runs,Max Carey,Pittsburgh,99
1913,Tommy Leach,Chicago,,
1913,Slugging Average,Gavvy Cravath,Philadelphia,.568
1913,Stolen Bases,Max Carey,Pittsburgh,61
1913,Total Bases,Gavvy Cravath,Philadelphia,298
1913,Triples,Vic Saier,Chicago,21
1963,Base on Balls,Eddie Mathews,Milwaukee,124
1963,Batting Average,Tommy Davis,Los Angeles,.326
1963,Doubles,Dick Groat,St. Louis,43
1963,Hits,Vada Pinson,Cincinnati,204
1963,Home Runs,Hank Aaron,Milwaukee,44
1963,Willie McCovey,San Francisco,,
1963,On Base Percentage,Eddie Mathews,Milwaukee,.400
1963,RBI,Hank Aaron,Milwaukee,130
1963,Runs,Hank Aaron,Milwaukee,121
1963,Slugging Average,Hank Aaron,Milwaukee,.586
1963,Stolen Bases,Maury Wills,Los Angeles,40
1963,Total Bases,Hank Aaron,Milwaukee,370
1963,Triples,Vada Pinson,Cincinnati,14
1982,Base on Balls,Mike Schmidt,Philadelphia,107
1982,Batting Average,Al Oliver,Montreal,.331
1982,Doubles,Al Oliver,Montreal,43
1982,Hits,Al Oliver,Montreal,204
1982,Home Runs,Dave Kingman,New York,37
1982,On Base Percentage,Mike Schmidt,Philadelphia,.407
1982,RBI,Dale Murphy,Atlanta,109
1982,Al Oliver,Montreal,,
1982,Runs,Lonnie Smith,St. Louis,120
1982,Slugging Average,Mike Schmidt,Philadelphia,.547
1982,Stolen Bases,Tim Raines,Montreal,78
1982,Total Bases,Al Oliver,Montreal,317
1982,Triples,Dickie Thon,Houston,10
2021,Base on Balls,Juan Soto,Washington Nationals,145
2021,Batting Average,Trea Turner,Washington Nationals,.328
2021,Doubles,Bryce Harper,Philadelphia Phillies,42
2021,Hits,Trea Turner,Washington Nationals,195
2021,Home Runs,Fernando Tatis Jr.,San Diego Padres,42
2021,On Base Percentage,Juan Soto,Washington Nationals,.465
2021,RBI,Adam Duvall,Miami Marlins,113
2021,Runs,Freddie Freeman,Atlanta Braves,120
2021,Slugging Average,Bryce Harper,Philadelphia Phillies,.615
2021,Stolen Bases,Trea Turner,Washington Nationals,32
2021,Total Bases,Trea Turner,Washington Nationals,319
2021,Triples,David Peralta,Arizona Diamondbacks,8
2021,Bryan Reynolds,Pittsburgh Pirates,8,
1890,Base on Balls,Cap Anson,Chicago,113
1890,Batting Average,Jack Glasscock,New York,.336
1890,Doubles,Sam Thompson,Philadelphia,41
1890,Hits,Jack Glasscock,New York,172
1890,Sam Thompson,New York,,
1890,Home Runs,Oyster Burns,Brooklyn,13
1890,Mike Tiernan,New York,,
1890,Walt Wilmot,Chicago,,
1890,On Base Percentage,Cap Anson,Chicago,.443
1890,RBI,Oyster Burns,Brooklyn,128
1890,Runs,Hub Collins,Brooklyn,148
1890,Slugging Average,Mike Tiernan,New York,.495
1890,Total Bases,Mike Tiernan,New York,274
1890,Triples,John Reilly,Cincinnati,26
1951,Base on Balls,Ralph Kiner,Pittsburgh,137
1951,Batting Average,Stan Musial,St. Louis,.355
1951,Doubles,Alvin Dark,New York,41
1951,Hits,Richie Ashburn,Philadelphia,221
1951,Home Runs,Ralph Kiner,Pittsburgh,42
1951,On Base Percentage,Ralph Kiner,Pittsburgh,.452
1951,RBI,Monte Irvin,New York,121
1951,Runs,Ralph Kiner,Pittsburgh,124
1951,Stan Musial,St. Louis,,
1951,Slugging Average,Ralph Kiner,Pittsburgh,.627
1951,Stolen Bases,Sam Jethroe,Boston,35
1951,Total Bases,Stan Musial,St. Louis,355
1951,Triples,Gus Bell,Pittsburgh,12
1951,Stan Musial,St. Louis,,
1921,Base on Balls,George Burns,New York,80
1921,Batting Average,Rogers Hornsby,St. Louis,.397
1921,Doubles,Rogers Hornsby,St. Louis,44
1921,Hits,Rogers Hornsby,St. Louis,235
1921,Home Runs,George Kelly,New York,23
1921,On Base Percentage,Rogers Hornsby,St. Louis,.458
1921,RBI,Rogers Hornsby,St. Louis,126
1921,Runs,Rogers Hornsby,St. Louis,131
1921,Slugging Average,Rogers Hornsby,St. Louis,.639
1921,Stolen Bases,Frankie Frisch,New York,49
1921,Total Bases,Rogers Hornsby,St. Louis,378
1921,Triples,Rogers Hornsby,St. Louis,18
1921,Ray Powell,Boston,,
2014,Base on Balls,Matt Carpenter,St. Louis,95
2014,Batting Average,Justin Morneau,Colorado,.319
2014,Doubles,Jonathan Lucroy,Milwaukee,53
2014,Hits,Ben Revere,Philadelphia,184
2014,Denard Span,Washington,,
2014,Home Runs,Giancarlo Stanton,Miami,37
2014,On Base Percentage,Andrew McCutchen,Pittsburgh,.410
2014,RBI,Adrian Gonzalez,Los Angeles,116
2014,Runs,Anthony Rendon,Washington,111
2014,Slugging Average,Giancarlo Stanton,Miami,.555
2014,Stolen Bases,Dee Strange-Gordon,Los Angeles,64
2014,Total Bases,Giancarlo Stanton,Miami,299
2014,Triples,Dee Strange-Gordon,Los Angeles,12
1876,Base on Balls,Ross Barnes,Chicago,20
1876,Batting Average,Ross Barnes,Chicago,.429
1876,Doubles,Ross Barnes,Chicago,21
1876,Hits,Ross Barnes,Chicago,138
1876,Home Runs,George Hall,Philadelphia,5
1876,On Base Percentage,Ross Barnes,Chicago,.462
1876,RBI,Deacon White,Chicago,60
1876,Runs,Ross Barnes,Chicago,126
1876,Slugging Average,Ross Barnes,Chicago,.590
1876,Total Bases,Ross Barnes,Chicago,190
1876,Triples,Ross Barnes,Chicago,14
1914,Base on Balls,Miller Huggins,St. Louis,105
1914,Batting Average,Jake Daubert,Brooklyn,.329
1914,Doubles,Sherry Magee,Philadelphia,39
1914,Hits,Sherry Magee,Philadelphia,171
1914,Home Runs,Gavvy Cravath,Philadelphia,19
1914,On Base Percentage,Casey Stengel,Brooklyn,.404
1914,RBI,Sherry Magee,Philadelphia,103
1914,Runs,George Burns,New York,100
1914,Slugging Average,Sherry Magee,Philadelphia,.509
1914,Stolen Bases,George Burns,New York,62
1914,Total Bases,Sherry Magee,Philadelphia,277
1914,Triples,Max Carey,Pittsburgh,17
1999,Base on Balls,Jeff Bagwell,Houston,149
1999,Batting Average,Larry Walker,Colorado,.379
1999,Doubles,Craig Biggio,Houston,56
1999,Hits,Luis Gonzalez,Arizona,206
1999,Home Runs,Mark McGwire,St. Louis,65
1999,On Base Percentage,Larry Walker,Colorado,.458
1999,RBI,Mark McGwire,St. Louis,147
1999,Runs,Jeff Bagwell,Houston,143
1999,Slugging Average,Larry Walker,Colorado,.710
1999,Stolen Bases,Tony Womack,Arizona,72
1999,Total Bases,Sammy Sosa,Chicago,397
1999,Triples,Bobby Abreu,Philadelphia,11
1999,Neifi Perez,Colorado,,
1964,Base on Balls,Ron Santo,Chicago,86
1964,Batting Average,Roberto Clemente,Pittsburgh,.339
1964,Doubles,Lee Maye,Milwaukee,44
1964,Hits,Roberto Clemente,Pittsburgh,211
1964,Curt Flood,St. Louis,,
1964,Home Runs,Willie Mays,San Francisco,47
1964,On Base Percentage,Ron Santo,Chicago,.401
1964,RBI,Ken Boyer,St. Louis,119
1964,Runs,Dick Allen,Philadelphia,125
1964,Slugging Average,Willie Mays,San Francisco,.607
1964,Stolen Bases,Maury Wills,Los Angeles,53
1964,Total Bases,Dick Allen,Philadelphia,352
1964,Triples,Dick Allen,Philadelphia,13
1964,Ron Santo,Chicago,,
1978,Base on Balls,Jeff Burroughs,Atlanta,117
1978,Batting Average,Dave Parker,Pittsburgh,.334
1978,Doubles,Pete Rose,Cincinnati,51
1978,Hits,Steve Garvey,Los Angeles,202
1978,Home Runs,George Foster,Cincinnati,40
1978,On Base Percentage,Jeff Burroughs,Atlanta,.432
1978,RBI,George Foster,Cincinnati,120
1978,Runs,Ivan DeJesus,Chicago,104
1978,Slugging Average,Dave Parker,Pittsburgh,.585
1978,Stolen Bases,Omar Moreno,Pittsburgh,71
1978,Total Bases,Dave Parker,Pittsburgh,340
1978,Triples,Garry Templeton,St. Louis,13
1985,Base on Balls,Dale Murphy,Atlanta,90
1985,Batting Average,Willie McGee,St. Louis,.353
1985,Doubles,Dave Parker,Cincinnati,42
1985,Hits,Willie McGee,St. Louis,216
1985,Home Runs,Dale Murphy,Atlanta,37
1985,On Base Percentage,Pedro Guerrero,Los Angeles,.425
1985,RBI,Dave Parker,Cincinnati,125
1985,Runs,Dale Murphy,Atlanta,118
1985,Slugging Average,Pedro Guerrero,Los Angeles,.577
1985,Stolen Bases,Vince Coleman,St. Louis,110
1985,Total Bases,Dave Parker,Cincinnati,350
1985,Triples,Willie McGee,St. Louis,18
1897,Base on Balls,Billy Hamilton,Boston,105
1897,Batting Average,Willie Keeler,Baltimore,.424
1897,Doubles,Jake Stenzel,Baltimore,43
1897,Hits,Willie Keeler,Baltimore,239
1897,Home Runs,Hugh Duffy,Boston,11
1897,On Base Percentage,John McGraw,Baltimore,.471
1897,RBI,George Davis,New York,136
1897,Runs,Billy Hamilton,Boston,152
1897,Slugging Average,Nap Lajoie,Philadelphia,.569
1897,Stolen Bases,Bill Lange,Chicago,73
1897,Total Bases,Nap Lajoie,Philadelphia,310
1897,Triples,Harry Davis,Pittsburgh,28
1908,Base on Balls,Roger Bresnahan,New York,83
1908,Batting Average,Honus Wagner,Pittsburgh,.354
1908,Doubles,Honus Wagner,Pittsburgh,39
1908,Hits,Honus Wagner,Pittsburgh,201
1908,Home Runs,Tim Jordan,Brooklyn,12
1908,On Base Percentage,Honus Wagner,Pittsburgh,.415
1908,RBI,Honus Wagner,Pittsburgh,109
1908,Runs,Fred Tenney,New York,101
1908,Slugging Average,Honus Wagner,Pittsburgh,.542
1908,Stolen Bases,Honus Wagner,Pittsburgh,53
1908,Total Bases,Honus Wagner,Pittsburgh,308
1908,Triples,Honus Wagner,Pittsburgh,19
1956,Base on Balls,Duke Snider,Brooklyn,99
1956,Batting Average,Hank Aaron,Milwaukee,.328
1956,Doubles,Hank Aaron,Milwaukee,34
1956,Hits,Hank Aaron,Milwaukee,200
1956,Home Runs,Duke Snider,Brooklyn,43
1956,On Base Percentage,Duke Snider,Brooklyn,.402
1956,RBI,Stan Musial,St. Louis,109
1956,Runs,Frank Robinson,Cincinnati,122
1956,Slugging Average,Duke Snider,Brooklyn,.598
1956,Stolen Bases,Willie Mays,New York,40
1956,Total Bases,Hank Aaron,Milwaukee,340
1956,Triples,Bill Bruton,Milwaukee,15
2008,Base on Balls,Adam Dunn,Arizona,122
2008,Batting Average,Chipper Jones,Atlanta,.364
2008,Doubles,Lance Berkman,Houston,46
2008,Nate McLouth,Pittsburgh,,
2008,Hits,Jose Reyes,New York,204
2008,Home Runs,Ryan Howard,Philadelphia,48
2008,On Base Percentage,Chipper Jones,Atlanta,.470
2008,RBI,Ryan Howard,Philadelphia,146
2008,Runs,Hanley Ramirez,Florida,125
2008,Slugging Average,Albert Pujols,St. Louis,.653
2008,Stolen Bases,Willy Taveras,Colorado,68
2008,Total Bases,Albert Pujols,St. Louis,342
2008,Triples,Jose Reyes,New York,19
1926,Base on Balls,Hack Wilson,Chicago,69
1926,Batting Average,Bubbles Hargrave,Cincinnati,.353
1926,Doubles,Jim Bottomley,St. Louis,40
1926,Hits,Eddie Brown,Boston,201
1926,Home Runs,Hack Wilson,Chicago,21
1926,On Base Percentage,Paul Waner,Pittsburgh,.413
1926,RBI,Jim Bottomley,St. Louis,120
1926,Runs,Kiki Cuyler,Pittsburgh,113
1926,Slugging Average,Cy Williams,Philadelphia,.568
1926,Stolen Bases,Kiki Cuyler,Pittsburgh,35
1926,Total Bases,Jim Bottomley,St. Louis,305
1926,Triples,Paul Waner,Pittsburgh,22
1943,Base on Balls,Augie Galan,Brooklyn,103
1943,Batting Average,Stan Musial,St. Louis,.357
1943,Doubles,Stan Musial,St. Louis,48
1943,Hits,Stan Musial,St. Louis,220
1943,Home Runs,Bill Nicholson,Chicago,29
1943,On Base Percentage,Stan Musial,St. Louis,.425
1943,RBI,Bill Nicholson,Chicago,128
1943,Runs,Arky Vaughan,Brooklyn,112
1943,Slugging Average,Stan Musial,St. Louis,.562
1943,Stolen Bases,Arky Vaughan,Brooklyn,20
1943,Total Bases,Stan Musial,St. Louis,347
1943,Triples,Stan Musial,St. Louis,20
1933,Base on Balls,Mel Ott,New York,75
1933,Batting Average,Chuck Klein,Philadelphia,.368
1933,Doubles,Chuck Klein,Philadelphia,44
1933,Hits,Chuck Klein,Philadelphia,223
1933,Home Runs,Chuck Klein,Philadelphia,28
1933,On Base Percentage,Chuck Klein,Philadelphia,.422
